dataset,target,assessor,arm,k,n,n_sel,base,prec,lift,recall
hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,20,1114,223,0.8034,0.9731,1.2112,0.2425
hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,30,1114,334,0.8034,0.9760,1.2149,0.3642
hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,5,1114,56,0.8034,1.0000,1.2447,0.0626
hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,10,1114,111,0.8034,1.0000,1.2447,0.1240
hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,20,1114,223,0.8034,0.9910,1.2335,0.2469
hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,30,1114,334,0.8034,0.9910,1.2335,0.3698
hotpotqa,gemma-3-4b-it,gemma-3-4b-it,self,5,1658,83,0.9367,0.8795,0.9390,0.0470
hotpotqa,gemma-3-4b-it,gemma-3-4b-it,self,10,1658,166,0.9367,0.8554,0.9133,0.0914
hotpotqa,gemma-3-4b-it,gemma-3-4b-it,self,20,1658,332,0.9367,0.8886,0.9486,0.1900
hotpotqa,gemma-3-4b-it,gemma-3-4b-it,self,30,1658,497,0.9367,0.8994,0.9602,0.2878
hotpotqa,gemma-3-4b-it,Phi-4-mini-instruct,cross,5,1658,83,0.9367,1.0000,1.0676,0.0534
hotpotqa,gemma-3-4b-it,Phi-4-mini-instruct,cross,10,1658,166,0.9367,1.0000,1.0676,0.1069
hotpotqa,gemma-3-4b-it,Phi-4-mini-instruct,cross,20,1658,332,0.9367,0.9940,1.0612,0.2125
hotpotqa,gemma-3-4b-it,Phi-4-mini-instruct,cross,30,1658,497,0.9367,0.9899,1.0569,0.3168
hotpotqa,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,5,1658,83,0.9367,1.0000,1.0676,0.0534
hotpotqa,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,10,1658,166,0.9367,1.0000,1.0676,0.1069
hotpotqa,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,20,1658,332,0.9367,1.0000,1.0676,0.2138
hotpotqa,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,30,1658,497,0.9367,1.0000,1.0676,0.3200
hotpotqa,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,5,1658,84,0.9367,0.9881,1.0549,0.0534
hotpotqa,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,10,1658,168,0.9367,0.9940,1.0613,0.1075
hotpotqa,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,20,1658,333,0.9367,0.9910,1.0580,0.2125
hotpotqa,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,30,1658,497,0.9367,0.9859,1.0526,0.3155
hotpotqa,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,5,1658,83,0.9367,0.9880,1.0547,0.0528
hotpotqa,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,10,1658,166,0.9367,0.9940,1.0612,0.1062
hotpotqa,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,20,1658,332,0.9367,0.9940,1.0612,0.2125
hotpotqa,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,30,1658,497,0.9367,0.9960,1.0633,0.3187
