dataset,target,assessor,arm,n_inc,n_cor,mu_inc,mu_cor,gap,level,sd,thr,bal_acc
hotpotqa,Qwen3.5-9B,Qwen3.5-9B,self,1129,180,0.2223,0.0219,0.2004,0.1947,0.2442,0.0260,0.7900
hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,895,219,0.3367,0.0465,0.2902,0.2797,0.2714,0.0954,0.8047
hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,895,219,0.0443,0.0049,0.0394,0.0366,0.1748,0.0000,0.7409
hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,895,219,0.0104,0.0270,-0.0166,0.0136,0.1100,0.9999,0.5017
hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,895,219,0.1823,0.0106,0.1717,0.1486,0.2131,0.0230,0.8461
hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,895,219,0.0080,0.0000,0.0080,0.0064,0.0547,0.0000,0.8158
hotpotqa,gemma-3-4b-it,gemma-3-4b-it,self,1553,105,0.0582,0.1136,-0.0554,0.0617,0.2336,1.0000,0.5026
hotpotqa,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,1553,105,0.6286,0.1307,0.4980,0.5971,0.4778,0.0000,0.7983
hotpotqa,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,1553,105,0.7636,0.1366,0.6270,0.7239,0.3422,0.2942,0.8603
hotpotqa,gemma-3-4b-it,Phi-4-mini-instruct,cross,1553,105,0.2406,0.0340,0.2066,0.2276,0.2676,0.0293,0.8347
hotpotqa,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,1553,105,0.0278,0.0079,0.0199,0.0265,0.1131,0.0000,0.8191
