env,judge,dropped,at_target,swing_pts
hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,0.8319
hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,Qwen3.6-35B-A3B,0.1255
hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,gemma-3-4b-it,0.5928
hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,0.2107
hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,0.0599
hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,Phi-4-mini-instruct,0.0272
hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,gemma-3-4b-it,0.0341
hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,Llama-3.3-70B-Instruct,0.0316
hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,0.0687
hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,Phi-4-mini-instruct,0.0643
hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,Qwen3.6-35B-A3B,0.0171
