dataset,assessor,target,arm,capable,n,n_ep,n_pool_targets,parse_rate,g_degenerate,base,mean_u,p_hat,V,S_LOTO_raw,S_LOTO_quantile,S_g_quantile,S_oracle_pct,S_mid_gap,S_fitted,req_pct_quant,req_pct_g,req_pct_oracle,realized_flag_V,realized_flag_raw,realized_flag_quant,realized_flag_g,realized_flag_oracle,realized_flag_gap,gap_width,gap_mid,mass_extremes
alfworld,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,no,3110,139,5,1.0000,0,0.7711,0.1466,0.8658,0.5066,0.5310,0.5330,0.5214,0.5328,0.5095,0.5253,22.4485,13.4242,22.8939,0.1492,0.4608,0.7756,0.8659,0.7711,0.1466,0.0622,0.5311,0.9723
alfworld,gemma-3-4b-it,deepseek-v4-flash,cross,no,3016,120,5,1.0000,0,0.8286,0.1405,0.8232,0.4981,0.5092,0.5253,0.5241,0.5179,0.4975,0.4797,26.9503,17.6776,17.1419,0.1419,0.4910,0.7304,0.8233,0.8286,0.1409,0.0622,0.5311,0.9635
alfworld,gemma-3-4b-it,gemma-3-4b-it,self,no,6730,140,5,1.0000,0,0.9725,0.2485,0.8486,0.4167,0.5287,0.5114,0.5472,0.5414,0.4167,0.5397,30.2301,15.1447,2.7489,0.2487,0.7368,0.6978,0.8486,0.9725,0.2487,0.0622,0.4689,0.9470
hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,yes,1163,496,4,1.0000,0,0.8435,0.2490,0.8419,0.6276,0.7571,0.6565,0.6537,0.6548,0.6255,0.7565,15.9556,15.8089,15.6492,0.2537,0.6535,0.8409,0.8418,0.8435,0.2502,0.0622,0.5311,0.8968
hotpotqa,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,yes,2375,499,4,1.0000,0,0.9865,0.7263,0.9762,0.8715,0.9100,0.8655,0.7571,0.6516,0.8715,0.9049,24.7595,2.3844,1.3474,0.7331,0.9339,0.7524,0.9760,0.9865,0.7331,0.0622,0.4689,0.9158
hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,yes,1885,499,4,1.0000,0,0.9841,0.7026,0.9676,0.7569,0.7217,0.7588,0.5682,0.5766,0.7550,0.7474,22.4247,3.2436,1.5915,0.7056,0.9029,0.7761,0.9676,0.9841,0.7019,0.0622,0.5311,0.9199
hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,yes,1114,499,4,1.0000,0,0.8034,0.1084,0.7995,0.5648,0.6783,0.7335,0.7335,0.7243,0.5620,0.7813,19.9972,20.0498,19.6589,0.1086,0.3276,0.7998,0.7998,0.8034,0.1041,0.0622,0.5311,0.9372
hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,yes,1658,500,4,1.0000,0,0.9367,0.6443,0.9640,0.7546,0.7690,0.7664,0.6027,0.6695,0.7520,0.7390,20.5599,3.6017,6.3329,0.6484,0.8468,0.7943,0.9638,0.9367,0.6435,0.0622,0.5311,0.9294
hotpotqa,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,no,1163,496,4,1.0000,0,0.8435,0.0007,0.8494,0.5000,0.8158,0.7578,0.7039,0.7069,0.5010,0.8227,19.6957,15.0595,15.6492,0.0000,0.7085,0.8031,0.8495,0.8435,0.0017,0.2215,0.1582,0.9983
hotpotqa,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,no,2375,499,4,1.0000,0,0.9865,0.0076,0.9342,0.5011,0.8636,0.8578,0.7993,0.5565,0.5004,0.8379,26.2887,6.5841,1.3474,0.0021,0.8737,0.7373,0.9343,0.9865,0.0008,0.2461,0.6542,0.9789
