dataset,assessor,target,arm,capable,n,n_ep,n_pool_targets,parse_rate,g_degenerate,base,mean_u,p_hat,V,S_LOTO_raw,S_LOTO_quantile,S_g_quantile,S_oracle_pct,S_mid_gap,S_fitted,req_pct_quant,req_pct_g,req_pct_oracle,realized_flag_V,realized_flag_raw,realized_flag_quant,realized_flag_g,realized_flag_oracle,realized_flag_gap,gap_width,gap_mid,mass_extremes
alfworld,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,no,3197,140,5,1.0000,0,0.3819,0.1465,0.4873,0.5012,0.5634,0.5737,0.5536,0.5307,0.5012,0.5791,17.7169,51.2689,61.8079,0.1492,0.5424,0.8230,0.4873,0.3822,0.1467,0.0622,0.5311,0.9728
alfworld,gemma-3-4b-it,deepseek-v4-flash,cross,no,3304,120,5,1.0000,0,0.3308,0.1357,0.5111,0.4885,0.5357,0.5263,0.5221,0.4980,0.4880,0.5123,18.6077,48.8851,66.9189,0.1371,0.6265,0.8139,0.5112,0.3311,0.1359,0.0622,0.5311,0.9637
alfworld,gemma-3-4b-it,gemma-3-4b-it,self,no,6790,140,5,1.0000,0,0.8863,0.2493,0.4759,0.4200,0.5785,0.5662,0.4718,0.5915,0.4200,0.5813,21.8175,52.4060,11.3697,0.2493,0.8309,0.7819,0.4760,0.8863,0.2493,0.0622,0.4689,0.9464
hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,yes,2530,500,4,1.0000,0,0.2091,0.1694,0.2287,0.6913,0.7145,0.7593,0.7270,0.7153,0.6899,0.7615,50.4814,77.1330,79.0909,0.1719,0.2051,0.4953,0.2289,0.2095,0.1704,0.0622,0.5311,0.9269
hotpotqa,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,yes,3224,500,4,1.0000,0,0.5416,0.6162,0.5874,0.7693,0.7569,0.7533,0.7725,0.7682,0.7693,0.7718,60.8617,41.2587,45.8437,0.6225,0.6815,0.3914,0.5875,0.5416,0.6225,0.0622,0.4689,0.9197
hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,yes,2716,500,4,1.0000,0,0.5567,0.5658,0.5143,0.8264,0.8216,0.8064,0.8284,0.8299,0.8275,0.8229,57.9393,48.5725,44.3299,0.5677,0.6222,0.4208,0.5144,0.5567,0.5648,0.0622,0.5311,0.9304
hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,yes,2192,500,4,1.0000,0,0.1533,0.0740,0.1376,0.6190,0.6418,0.7485,0.6770,0.6939,0.6139,0.7577,49.2252,86.2424,84.6715,0.0753,0.0963,0.5078,0.1378,0.1537,0.0721,0.0622,0.5311,0.9580
hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,yes,2565,500,4,1.0000,0,0.4717,0.4874,0.4666,0.8332,0.8306,0.8255,0.8304,0.8299,0.8318,0.8307,55.6368,53.3396,52.8265,0.4893,0.5400,0.4437,0.4667,0.4721,0.4850,0.0622,0.5311,0.9376
hotpotqa,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,no,2530,500,4,1.0000,0,0.2091,0.0008,0.2548,0.5000,0.6356,0.6420,0.5766,0.5707,0.5011,0.6411,40.2356,74.5240,79.0909,0.0000,0.5360,0.5976,0.2549,0.2095,0.0020,0.1260,0.1388,0.9980
hotpotqa,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,no,3224,500,4,1.0000,0,0.5416,0.0072,0.4835,0.5017,0.6347,0.6218,0.6154,0.6221,0.5003,0.6349,45.2064,51.6516,45.8437,0.0025,0.6898,0.5481,0.4836,0.5416,0.0003,0.1274,0.8410,0.9808
