dataset,assessor,target,arm,capable,n,n_ep,n_pool_targets,parse_rate,g_degenerate,base,mean_u,p_hat,V,S_LOTO_raw,S_LOTO_quantile,S_g_quantile,S_oracle_pct,S_mid_gap,S_fitted,req_pct_quant,req_pct_g,req_pct_oracle,realized_flag_V,realized_flag_raw,realized_flag_quant,realized_flag_g,realized_flag_oracle,realized_flag_gap,gap_width,gap_mid,mass_extremes
alfworld,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,no,4285,140,5,1.0000,0,0.5328,0.3576,0.7437,0.4723,0.5534,0.5573,0.5427,0.4980,0.4723,0.5554,19.3356,25.6265,46.7211,0.3566,0.7767,0.8068,0.7438,0.5328,0.3566,0.0622,0.4689,0.9424
alfworld,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,no,6203,140,5,1.0000,0,0.7993,0.4416,0.7925,0.4206,0.5580,0.5182,0.5235,0.5242,0.4206,0.5586,22.2291,20.7473,20.0709,0.4425,0.8904,0.7777,0.7925,0.7993,0.4425,0.0622,0.4689,0.9476
alfworld,gemma-3-4b-it,Phi-4-mini-instruct,cross,no,6005,140,5,1.0000,0,0.8243,0.4698,0.8275,0.4279,0.5559,0.5158,0.5328,0.5308,0.4269,0.5418,22.2421,17.2537,17.5687,0.4708,0.8959,0.7777,0.8275,0.8243,0.4681,0.0622,0.5311,0.9449
alfworld,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,no,2872,140,5,1.0000,0,0.4217,0.1424,0.4916,0.5023,0.5950,0.5928,0.5833,0.5614,0.5025,0.6050,16.9256,50.8385,57.8343,0.1452,0.5425,0.8308,0.4916,0.4220,0.1424,0.0622,0.5311,0.9725
alfworld,gemma-3-4b-it,deepseek-v4-flash,cross,no,3067,120,5,1.0000,0,0.3384,0.1369,0.5424,0.4933,0.5485,0.5401,0.5348,0.5126,0.4928,0.5228,15.1245,45.7598,66.1559,0.1389,0.6844,0.8487,0.5425,0.3388,0.1376,0.0622,0.5311,0.9628
alfworld,gemma-3-4b-it,gemma-3-4b-it,self,no,6507,140,5,1.0000,0,0.9096,0.2492,0.5048,0.4192,0.5859,0.5709,0.4671,0.5915,0.4192,0.5900,21.1127,49.5178,9.0364,0.2493,0.8399,0.7888,0.5048,0.9096,0.2493,0.0622,0.4689,0.9462
hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,yes,1878,472,4,1.0000,0,0.1821,0.1470,0.1810,0.7452,0.7738,0.7904,0.7751,0.7780,0.7423,0.8216,51.6270,81.9045,81.7891,0.1486,0.1778,0.4840,0.1816,0.1826,0.1475,0.0622,0.5311,0.9393
hotpotqa,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,yes,2626,499,4,1.0000,0,0.5613,0.6002,0.5977,0.8259,0.8137,0.7821,0.8292,0.8283,0.8259,0.8300,61.7572,40.2343,43.8690,0.6055,0.6569,0.3827,0.5979,0.5613,0.6055,0.0622,0.4689,0.9322
hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,yes,2282,490,4,1.0000,0,0.5710,0.5595,0.5338,0.8592,0.8546,0.8148,0.8640,0.8587,0.8605,0.8562,59.8665,46.6240,42.9010,0.5613,0.6052,0.4014,0.5342,0.5710,0.5587,0.0622,0.5311,0.9387
hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,yes,1787,497,4,1.0000,0,0.1058,0.0639,0.1108,0.6672,0.6960,0.7741,0.7277,0.7186,0.6599,0.8123,50.1218,88.9245,89.4236,0.0660,0.0834,0.4992,0.1114,0.1063,0.0632,0.0622,0.5311,0.9647
hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,yes,2248,493,4,1.0000,0,0.4800,0.4862,0.4823,0.8644,0.8635,0.8525,0.8638,0.8632,0.8633,0.8632,57.7044,51.7733,52.0018,0.4867,0.5311,0.4230,0.4827,0.4804,0.4831,0.0622,0.5311,0.9444
hotpotqa,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,no,1878,472,4,1.0000,0,0.1821,0.0008,0.2314,0.5000,0.6429,0.6481,0.5836,0.5742,0.5023,0.6451,42.0664,76.8551,81.7891,0.0000,0.4681,0.5793,0.2316,0.1826,0.0021,0.1544,0.1246,0.9979
hotpotqa,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,no,2626,499,4,1.0000,0,0.5613,0.0074,0.4819,0.5016,0.6608,0.6422,0.6379,0.6528,0.5003,0.6596,48.1147,51.8090,43.8690,0.0027,0.6744,0.5190,0.4821,0.5613,0.0004,0.1274,0.8410,0.9806
hotpotqa,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,no,2282,490,4,1.0000,0,0.5710,0.0107,0.8215,0.5070,0.6554,0.6486,0.6050,0.6547,0.5070,0.6556,46.9961,17.8476,42.9010,0.0101,0.5819,0.5302,0.8216,0.5710,0.0101,0.2058,0.3971,0.9855
