dataset,assessor,target,arm,capable,n,n_ep,n_pool_targets,base,V,S_LOTO_raw,S_LOTO_quantile,S_fitted,S_LOTO_raw_macro,S_LOTO_quantile_macro,cut_pool,pct_pool
hotpotqa,Phi-4-mini-instruct,Phi-4-mini-instruct,self,no,2716,500,4,0.5567,0.5147,0.5326,0.5297,0.5308,0.5392,0.5303,0.0601,45.9614
hotpotqa,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,no,2192,500,4,0.1533,0.5098,0.5519,0.5763,0.5619,0.5516,0.5736,0.0953,54.9162
hotpotqa,Phi-4-mini-instruct,gemma-3-4b-it,cross,no,2565,500,4,0.4717,0.5232,0.5462,0.5459,0.5625,0.5591,0.5524,0.0474,39.7486
hotpotqa,Qwen3.5-4B,Qwen3.5-4B,self,no,2371,500,0,0.2434,0.7222,,,0.7403,,,,
hotpotqa,Qwen3.5-9B,Qwen3.5-9B,self,no,2286,498,0,0.2030,0.6191,,,0.7414,,,,
hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,yes,2530,500,4,0.2091,0.7595,0.7285,0.7543,0.7609,0.7421,0.7551,0.7045,48.7613
hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,yes,3224,500,4,0.5416,0.7154,0.7528,0.7337,0.7709,0.7276,0.7514,0.6773,58.2725
hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,yes,2716,500,4,0.5567,0.7919,0.8309,0.8000,0.8355,0.8039,0.8212,0.7040,56.9689
hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,yes,2192,500,4,0.1533,0.7564,0.6429,0.7643,0.7898,0.6768,0.7542,0.7529,49.8233
hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,yes,2565,500,4,0.4717,0.8177,0.8414,0.8301,0.8429,0.8340,0.8438,0.7512,57.2876
hotpotqa,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,no,2530,500,4,0.2091,0.5123,0.5956,0.6046,0.6034,0.5930,0.6114,0.0000,48.3220
hotpotqa,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,no,3224,500,4,0.5416,0.5074,0.6146,0.6028,0.6152,0.6146,0.6022,0.0000,47.8057
hotpotqa,gemma-3-4b-it,Phi-4-mini-instruct,cross,no,2716,500,4,0.5567,0.5335,0.6533,0.6550,0.6554,0.6568,0.6586,0.0000,49.2151
hotpotqa,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,no,2192,500,4,0.1533,0.5062,0.6403,0.6290,0.6330,0.6383,0.6243,0.0000,44.1776
hotpotqa,gemma-3-4b-it,gemma-3-4b-it,self,no,2565,500,4,0.4717,0.5058,0.6741,0.6649,0.6736,0.6730,0.6638,0.0000,49.3341
