construct,dataset,target,open_judge,capable,n,auroc_gpt4o,auroc_open,delta,ci_lo,ci_hi
violation+judgment,hotpotqa,gemma-3-4b-it,Phi-4-mini-instruct,0,108,0.9691,0.6242,0.3449,0.2451,0.4495
violation+judgment,hotpotqa,gemma-3-4b-it,Qwen3.6-35B-A3B,1,108,0.9691,0.9803,-0.0112,-0.0438,0.0161
violation+judgment,hotpotqa,gemma-3-4b-it,gemma-3-4b-it,0,108,0.9691,0.6971,0.2720,0.1642,0.3841
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,1,105,0.9348,0.8756,0.0592,0.0013,0.1259
judgment,alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,0,105,0.9348,0.6757,0.2591,0.1780,0.3456
judgment,alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,0,105,0.9348,0.6212,0.3136,0.2173,0.4189
judgment,alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,1,105,0.9348,0.9249,0.0099,-0.0409,0.0548
judgment,alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,0,105,0.9348,0.4805,0.4543,0.3461,0.5666
judgment,alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,1,104,0.8165,0.8588,-0.0424,-0.1129,0.0252
judgment,alfworld,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,0,104,0.8165,0.7112,0.1053,-0.0162,0.2203
judgment,alfworld,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,0,104,0.8165,0.5034,0.3130,0.1822,0.4378
judgment,alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,1,104,0.8165,0.8915,-0.0750,-0.1491,-0.0089
judgment,alfworld,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,0,104,0.8165,0.4772,0.3392,0.2149,0.4652
judgment,alfworld,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,1,106,0.7877,0.8520,-0.0643,-0.1135,-0.0183
judgment,alfworld,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,0,106,0.7877,0.6464,0.1413,-0.0009,0.2811
judgment,alfworld,Phi-4-mini-instruct,Phi-4-mini-instruct,0,106,0.7877,0.2909,0.4968,0.3741,0.6173
judgment,alfworld,Phi-4-mini-instruct,Qwen3.6-35B-A3B,1,106,0.7877,0.8877,-0.1000,-0.1772,-0.0306
judgment,alfworld,Phi-4-mini-instruct,gemma-3-4b-it,0,106,0.7877,0.3714,0.4163,0.3049,0.5313
judgment,alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,1,95,0.7498,0.7600,-0.0103,-0.0987,0.0902
judgment,alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,0,95,0.7498,0.5774,0.1724,0.0448,0.3063
judgment,alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,0,95,0.7498,0.4352,0.3145,0.1886,0.4330
judgment,alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,1,95,0.7498,0.7940,-0.0443,-0.1329,0.0438
judgment,alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,0,95,0.7498,0.6426,0.1072,-0.0421,0.2608
judgment,alfworld,deepseek-v4-flash,Llama-3.3-70B-Instruct,1,101,0.7907,0.8383,-0.0476,-0.1328,0.0324
judgment,alfworld,deepseek-v4-flash,Mistral-7B-Instruct-v0.3,0,101,0.7907,0.6518,0.1390,0.0153,0.2703
judgment,alfworld,deepseek-v4-flash,Phi-4-mini-instruct,0,101,0.7907,0.5620,0.2287,0.0972,0.3728
judgment,alfworld,deepseek-v4-flash,Qwen3.6-35B-A3B,1,101,0.7907,0.8974,-0.1067,-0.1940,-0.0270
judgment,alfworld,deepseek-v4-flash,deepseek-v4-flash,0,77,0.7907,0.6674,0.1145,-0.0154,0.2509
judgment,alfworld,deepseek-v4-flash,gemma-3-4b-it,0,101,0.7907,0.5012,0.2895,0.1581,0.4177
judgment,alfworld,gemma-3-4b-it,Llama-3.3-70B-Instruct,1,107,0.8486,0.9299,-0.0813,-0.1704,-0.0076
judgment,alfworld,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,0,107,0.8486,0.7683,0.0803,-0.0478,0.1991
judgment,alfworld,gemma-3-4b-it,Phi-4-mini-instruct,0,107,0.8486,0.4996,0.3490,0.2267,0.4770
judgment,alfworld,gemma-3-4b-it,Qwen3.6-35B-A3B,1,107,0.8486,0.9135,-0.0649,-0.1464,0.0074
judgment,alfworld,gemma-3-4b-it,gemma-3-4b-it,0,107,0.8486,0.5969,0.2517,0.1167,0.3686
judgment,hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,1,99,0.7985,0.8852,-0.0867,-0.1719,0.0005
judgment,hotpotqa,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,0,99,0.7985,0.6877,0.1109,-0.0136,0.2355
judgment,hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,0,99,0.7985,0.6557,0.1428,0.0268,0.2611
judgment,hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,1,99,0.7985,0.8852,-0.0867,-0.1716,-0.0070
judgment,hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,0,99,0.7985,0.6596,0.1389,0.0060,0.2598
judgment,hotpotqa,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,1,107,0.9096,0.9194,-0.0098,-0.0729,0.0422
judgment,hotpotqa,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,0,107,0.9096,0.6741,0.2355,0.1202,0.3497
judgment,hotpotqa,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,0,107,0.9096,0.5305,0.3791,0.2562,0.4937
judgment,hotpotqa,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,1,107,0.9096,0.8740,0.0356,-0.0293,0.1037
judgment,hotpotqa,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,0,107,0.9096,0.6674,0.2422,0.1362,0.3523
judgment,hotpotqa,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,1,107,0.9480,0.9429,0.0051,-0.0471,0.0606
judgment,hotpotqa,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,0,107,0.9480,0.6800,0.2680,0.1491,0.3967
judgment,hotpotqa,Phi-4-mini-instruct,Phi-4-mini-instruct,0,107,0.9480,0.5278,0.4202,0.3148,0.5323
judgment,hotpotqa,Phi-4-mini-instruct,Qwen3.6-35B-A3B,1,107,0.9480,0.9198,0.0282,-0.0240,0.0867
judgment,hotpotqa,Phi-4-mini-instruct,gemma-3-4b-it,0,107,0.9480,0.7203,0.2277,0.1054,0.3644
judgment,hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,1,89,0.9020,0.9230,-0.0210,-0.0993,0.0618
judgment,hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,0,89,0.9020,0.8585,0.0435,-0.0423,0.1301
judgment,hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,0,89,0.9020,0.6263,0.2757,0.1600,0.3978
judgment,hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,1,89,0.9020,0.9659,-0.0639,-0.1288,-0.0045
judgment,hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,0,89,0.9020,0.7704,0.1316,0.0266,0.2426
judgment,hotpotqa,gemma-3-4b-it,Llama-3.3-70B-Instruct,1,107,0.9687,0.9679,0.0008,-0.0294,0.0349
judgment,hotpotqa,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,0,107,0.9687,0.6608,0.3079,0.2059,0.4136
judgment,hotpotqa,gemma-3-4b-it,Phi-4-mini-instruct,0,107,0.9687,0.6244,0.3443,0.2463,0.4460
judgment,hotpotqa,gemma-3-4b-it,Qwen3.6-35B-A3B,1,107,0.9687,0.9800,-0.0113,-0.0431,0.0159
judgment,hotpotqa,gemma-3-4b-it,gemma-3-4b-it,0,107,0.9687,0.6952,0.2735,0.1677,0.3875
violation,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,1,48,0.8356,0.7338,0.1019,-0.0437,0.2823
violation,alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,0,48,0.8356,0.6620,0.1736,0.0167,0.3290
violation,alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,0,48,0.8356,0.4583,0.3773,0.2040,0.5481
violation,alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,1,48,0.8356,0.7500,0.0856,-0.0086,0.1890
violation,alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,0,48,0.8356,0.4421,0.3935,0.2222,0.5700
violation,alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,1,43,0.8532,0.7341,0.1190,0.0057,0.2739
violation,alfworld,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,0,43,0.8532,0.6587,0.1944,-0.0244,0.4865
violation,alfworld,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,0,43,0.8532,0.6071,0.2460,-0.1815,0.6287
violation,alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,1,43,0.8532,0.7619,0.0913,-0.0223,0.3207
violation,alfworld,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,0,43,0.8532,0.5000,0.3532,0.0000,0.7245
violation,alfworld,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,1,40,0.5139,0.5764,-0.0625,-0.1463,0.0000
violation,alfworld,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,0,40,0.5139,0.9167,-0.4028,-0.8595,0.0000
violation,alfworld,Phi-4-mini-instruct,Phi-4-mini-instruct,0,40,0.5139,0.2847,0.2292,-0.0333,0.4131
violation,alfworld,Phi-4-mini-instruct,Qwen3.6-35B-A3B,1,40,0.5139,0.6250,-0.1111,-0.2126,0.0000
violation,alfworld,Phi-4-mini-instruct,gemma-3-4b-it,0,40,0.5139,0.3472,0.1667,-0.0487,0.3824
violation,alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,1,57,0.7431,0.7904,-0.0625,-0.1557,0.0173
violation,alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,0,57,0.7431,0.7008,0.0272,-0.1246,0.1872
violation,alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,0,57,0.7431,0.5896,0.1383,-0.0312,0.3059
violation,alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,1,57,0.7431,0.7412,-0.0132,-0.1094,0.1005
violation,alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,0,57,0.7431,0.6679,0.0600,-0.1308,0.2487
violation,alfworld,deepseek-v4-flash,Llama-3.3-70B-Instruct,1,48,0.8310,0.8634,-0.0324,-0.1742,0.0877
violation,alfworld,deepseek-v4-flash,Mistral-7B-Instruct-v0.3,0,48,0.8310,0.7361,0.0949,-0.0801,0.2883
violation,alfworld,deepseek-v4-flash,Phi-4-mini-instruct,0,48,0.8310,0.6829,0.1481,-0.0342,0.3302
violation,alfworld,deepseek-v4-flash,Qwen3.6-35B-A3B,1,48,0.8310,0.8403,-0.0093,-0.1000,0.0815
violation,alfworld,deepseek-v4-flash,gemma-3-4b-it,0,48,0.8310,0.6273,0.2037,0.0030,0.4198
violation,alfworld,gemma-3-4b-it,Llama-3.3-70B-Instruct,1,47,0.6465,0.6364,0.0101,-0.0853,0.1044
violation,alfworld,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,0,47,0.6465,0.5480,0.0985,-0.0961,0.2882
violation,alfworld,gemma-3-4b-it,Phi-4-mini-instruct,0,47,0.6465,0.5025,0.1439,-0.1289,0.4085
violation,alfworld,gemma-3-4b-it,Qwen3.6-35B-A3B,1,47,0.6465,0.5808,0.0657,-0.0625,0.2072
