dataset,assessor,target,arm,capable,n,n_ep,n_pool_targets,parse_rate,g_degenerate,base,mean_u,p_hat,V,S_LOTO_raw,S_LOTO_quantile,S_g_quantile,S_oracle_pct,S_mid_gap,S_fitted,req_pct_quant,req_pct_g,req_pct_oracle,realized_flag_V,realized_flag_raw,realized_flag_quant,realized_flag_g,realized_flag_oracle,realized_flag_gap,gap_width,gap_mid,mass_extremes
alfworld,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,no,1725,139,5,1.0000,0,0.5872,0.1431,0.6997,0.5070,0.5925,0.5907,0.6007,0.5874,0.5090,0.6060,13.5059,30.0346,41.2754,0.1472,0.6058,0.8649,0.6997,0.5872,0.1525,0.0865,0.2257,0.9728
alfworld,gemma-3-4b-it,deepseek-v4-flash,cross,no,1287,117,5,1.0000,0,0.5983,0.1344,0.6819,0.4924,0.5483,0.5724,0.5593,0.5603,0.4911,0.5639,20.0095,31.8075,40.1709,0.1360,0.5742,0.8003,0.6822,0.5983,0.1344,0.0622,0.5311,0.9596
alfworld,gemma-3-4b-it,gemma-3-4b-it,self,no,5723,140,5,1.0000,0,0.9677,0.2295,0.6969,0.4065,0.5465,0.5362,0.5110,0.5755,0.4065,0.5520,22.1923,30.3085,3.2326,0.2298,0.7980,0.7781,0.6970,0.9677,0.2298,0.0622,0.4689,0.9458
hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,yes,321,275,4,1.0000,0,0.4330,0.2993,0.3831,0.8045,0.8911,0.6319,0.8699,0.8957,0.8045,0.8829,15.1344,61.6941,56.6978,0.3022,0.4486,0.8505,0.3863,0.4361,0.3022,0.1225,0.4388,0.9221
hotpotqa,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,yes,931,426,4,1.0000,0,0.9656,0.8765,0.9800,0.9577,0.9459,0.8977,0.7969,0.9515,0.9577,0.9513,23.1794,2.0000,3.4372,0.8840,0.9549,0.7680,0.9796,0.9656,0.8840,0.0622,0.4689,0.9474
hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,yes,873,362,4,1.0000,0,0.9656,0.8332,0.9319,0.8288,0.8329,0.8278,0.8102,0.7411,0.8288,0.8174,23.4458,6.8114,3.4364,0.8351,0.9095,0.7663,0.9324,0.9656,0.8351,0.0622,0.4689,0.9404
hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,yes,269,256,4,1.0000,0,0.1859,0.1111,0.2550,0.7877,0.8863,0.5868,0.9566,0.9117,0.7777,0.9614,14.0946,74.5047,81.4126,0.1115,0.1710,0.8587,0.2565,0.1896,0.1078,0.2773,0.6386,0.9517
hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,yes,940,378,4,1.0000,0,0.8883,0.7883,0.9009,0.8490,0.8457,0.8484,0.8410,0.8445,0.8460,0.8290,20.9273,9.9055,11.1702,0.7915,0.8809,0.7904,0.9011,0.8883,0.7862,0.0622,0.5311,0.9372
hotpotqa,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,no,321,275,4,1.0000,0,0.4330,0.0000,0.2681,0.5000,0.8818,0.6621,0.7559,0.8640,0.5044,0.8737,18.2874,73.1859,56.6978,0.0000,0.4735,0.8162,0.2710,0.4361,0.0093,0.0015,0.0014,1.0000
hotpotqa,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,no,931,426,4,1.0000,0,0.9656,0.0077,0.9800,0.5006,0.8885,0.8648,0.6351,0.7573,0.5006,0.8735,26.4669,2.0000,3.4372,0.0011,0.9066,0.7358,0.9796,0.9656,0.0011,0.1537,0.4544,0.9764
