dataset,target,assessor,arm,k,n,n_sel,base,prec,lift,recall
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,30,3110,933,0.3862,0.7663,1.9845,0.5953
alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,5,3110,156,0.3862,0.5833,1.5105,0.0758
alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,10,3110,311,0.3862,0.5241,1.3572,0.1357
alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,20,3110,622,0.3862,0.4904,1.2698,0.2540
alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,30,3110,933,0.3862,0.4544,1.1768,0.3530
alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,5,3110,156,0.3862,0.7179,1.8591,0.0933
alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,10,3110,311,0.3862,0.6495,1.6819,0.1682
alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,20,3110,622,0.3862,0.5884,1.5237,0.3047
alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,30,3110,933,0.3862,0.5198,1.3461,0.4038
alfworld,deepseek-v4-flash,deepseek-v4-flash,self,5,3016,151,0.3481,0.5695,1.6359,0.0819
alfworld,deepseek-v4-flash,deepseek-v4-flash,self,10,3016,302,0.3481,0.5132,1.4742,0.1476
alfworld,deepseek-v4-flash,deepseek-v4-flash,self,20,3016,603,0.3481,0.5058,1.4529,0.2905
alfworld,deepseek-v4-flash,deepseek-v4-flash,self,30,3016,905,0.3481,0.5105,1.4663,0.4400
alfworld,deepseek-v4-flash,Qwen3.6-35B-A3B,cross,5,3016,151,0.3481,0.9735,2.7963,0.1400
alfworld,deepseek-v4-flash,Qwen3.6-35B-A3B,cross,10,3016,302,0.3481,0.9305,2.6726,0.2676
alfworld,deepseek-v4-flash,Qwen3.6-35B-A3B,cross,20,3016,603,0.3481,0.8491,2.4389,0.4876
alfworld,deepseek-v4-flash,Qwen3.6-35B-A3B,cross,30,3016,905,0.3481,0.7558,2.1709,0.6514
alfworld,deepseek-v4-flash,gemma-3-4b-it,cross,5,3016,151,0.3481,0.3510,1.0082,0.0505
alfworld,deepseek-v4-flash,gemma-3-4b-it,cross,10,3016,302,0.3481,0.3775,1.0843,0.1086
alfworld,deepseek-v4-flash,gemma-3-4b-it,cross,20,3016,603,0.3481,0.4046,1.1623,0.2324
alfworld,deepseek-v4-flash,gemma-3-4b-it,cross,30,3016,905,0.3481,0.3978,1.1426,0.3429
alfworld,deepseek-v4-flash,Mistral-7B-Instruct-v0.3,cross,5,3016,151,0.3481,0.5497,1.5789,0.0790
alfworld,deepseek-v4-flash,Mistral-7B-Instruct-v0.3,cross,10,3016,302,0.3481,0.5430,1.5598,0.1562
alfworld,deepseek-v4-flash,Mistral-7B-Instruct-v0.3,cross,20,3016,603,0.3481,0.4892,1.4052,0.2810
alfworld,deepseek-v4-flash,Mistral-7B-Instruct-v0.3,cross,30,3016,905,0.3481,0.4785,1.3743,0.4124
alfworld,deepseek-v4-flash,Phi-4-mini-instruct,cross,5,3016,151,0.3481,0.4967,1.4267,0.0714
alfworld,deepseek-v4-flash,Phi-4-mini-instruct,cross,10,3016,302,0.3481,0.4338,1.2460,0.1248
alfworld,deepseek-v4-flash,Phi-4-mini-instruct,cross,20,3016,603,0.3481,0.4013,1.1528,0.2305
alfworld,deepseek-v4-flash,Phi-4-mini-instruct,cross,30,3016,905,0.3481,0.3691,1.0601,0.3181
alfworld,deepseek-v4-flash,Llama-3.3-70B-Instruct,cross,5,3016,151,0.3481,0.9735,2.7963,0.1400
alfworld,deepseek-v4-flash,Llama-3.3-70B-Instruct,cross,10,3016,302,0.3481,0.9238,2.6536,0.2657
alfworld,deepseek-v4-flash,Llama-3.3-70B-Instruct,cross,20,3016,603,0.3481,0.8375,2.4056,0.4810
alfworld,deepseek-v4-flash,Llama-3.3-70B-Instruct,cross,30,3016,905,0.3481,0.7657,2.1995,0.6600
alfworld,gemma-3-4b-it,gemma-3-4b-it,self,5,6730,336,0.8893,0.8095,0.9103,0.0454
alfworld,gemma-3-4b-it,gemma-3-4b-it,self,10,6730,673,0.8893,0.8321,0.9357,0.0936
alfworld,gemma-3-4b-it,gemma-3-4b-it,self,20,6730,1346,0.8893,0.8841,0.9942,0.1988
alfworld,gemma-3-4b-it,gemma-3-4b-it,self,30,6730,2019,0.8893,0.9099,1.0231,0.3069
