dataset,target,assessor,arm,n_inc,n_cor,mu_inc,mu_cor,gap,level,sd,thr,bal_acc
hotpotqa,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,1855,861,0.8170,0.3319,0.4851,0.6632,0.3842,0.7026,0.7758
hotpotqa,Qwen3.5-4B,Qwen3.5-4B,self,1207,1164,0.3365,0.1081,0.2283,0.2244,0.2582,0.0675,0.7381
hotpotqa,Qwen3.5-9B,Qwen3.5-9B,self,1129,1167,0.2223,0.0393,0.1830,0.1293,0.2124,0.0230,0.7576
hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,895,1297,0.3367,0.0903,0.2464,0.1909,0.2453,0.1473,0.7530
hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,895,1297,0.0443,0.0146,0.0297,0.0267,0.1510,0.0000,0.6944
hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,895,1297,0.0104,0.0076,0.0027,0.0087,0.0884,0.0000,0.6051
hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,895,1297,0.0080,0.0057,0.0023,0.0066,0.0616,0.0000,0.6530
hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,895,1297,0.1823,0.0795,0.1028,0.1215,0.1888,0.0601,0.6540
hotpotqa,gemma-3-4b-it,gemma-3-4b-it,self,1553,1012,0.0582,0.0307,0.0275,0.0473,0.2059,0.0000,0.6517
hotpotqa,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,1553,1012,0.0278,0.0230,0.0047,0.0259,0.1191,0.0000,0.6373
hotpotqa,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,1553,1012,0.6286,0.1277,0.5009,0.4310,0.4847,0.0000,0.7795
hotpotqa,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,1553,1012,0.7636,0.2820,0.4816,0.5736,0.4031,0.5013,0.7726
hotpotqa,gemma-3-4b-it,Phi-4-mini-instruct,cross,1553,1012,0.2406,0.1255,0.1152,0.1952,0.2535,0.0953,0.6367
