dataset,assessor,target,arm,capable,n,n_ep,n_pool_targets,parse_rate,g_degenerate,base,mean_u,p_hat,V,S_LOTO_raw,S_LOTO_quantile,S_g_quantile,S_oracle_pct,S_mid_gap,S_fitted,req_pct_quant,req_pct_g,req_pct_oracle,realized_flag_V,realized_flag_raw,realized_flag_quant,realized_flag_g,realized_flag_oracle,realized_flag_gap,gap_width,gap_mid,mass_extremes
hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,yes,1558,490,4,1.0000,0,0.9807,0.7030,0.9640,0.7577,0.7189,0.7629,0.5666,0.5752,0.7557,0.7440,25.1397,3.5967,1.9255,0.7054,0.8960,0.7490,0.9641,0.9807,0.7015,0.0622,0.5311,0.9249
hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,yes,1074,498,4,1.0000,0,0.7961,0.0925,0.7875,0.5550,0.6672,0.7451,0.7366,0.7218,0.5527,0.7751,22.2112,21.2476,20.3911,0.0922,0.3073,0.7784,0.7877,0.7961,0.0885,0.0622,0.5311,0.9451
hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,yes,1281,485,4,1.0000,0,0.9180,0.6078,0.9508,0.7404,0.7554,0.7558,0.6081,0.6680,0.7404,0.7226,22.5884,4.9153,8.1967,0.6128,0.8119,0.7744,0.9508,0.9180,0.6128,0.0622,0.4689,0.9313
hotpotqa,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,no,1054,489,4,1.0000,0,0.8273,0.0008,0.8356,0.5000,0.8145,0.7627,0.6997,0.7011,0.5011,0.8072,21.9065,16.4380,17.2676,0.0000,0.6632,0.7808,0.8359,0.8273,0.0019,0.2215,0.1582,0.9981
hotpotqa,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,no,2140,488,4,1.0000,0,0.9850,0.0083,0.9336,0.5012,0.8673,0.8459,0.7994,0.5559,0.5005,0.8417,28.7296,6.6435,1.4953,0.0023,0.8799,0.7126,0.9336,0.9850,0.0009,0.2461,0.6542,0.9771
hotpotqa,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,no,1558,490,4,1.0000,0,0.9807,0.0124,0.9800,0.5052,0.7610,0.7802,0.5408,0.5412,0.5052,0.7829,25.0676,2.0000,1.9255,0.0103,0.8119,0.7497,0.9801,0.9807,0.0103,0.1826,0.4399,0.9807
hotpotqa,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,no,1074,498,4,1.0000,0,0.7961,0.0013,0.8650,0.5000,0.8446,0.7378,0.6647,0.7390,0.5012,0.8515,21.0177,13.5009,20.3911,0.0000,0.6127,0.7896,0.8650,0.7961,0.0019,0.0924,0.2480,0.9963
hotpotqa,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,no,1281,485,4,1.0000,0,0.9180,0.0034,0.8598,0.5000,0.8440,0.8604,0.7351,0.6577,0.5017,0.8595,27.2228,14.0178,8.1967,0.0000,0.6698,0.7283,0.8603,0.9180,0.0031,0.0715,0.2584,0.9875
hotpotqa,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,no,1054,489,4,1.0000,0,0.8273,0.2102,0.9800,0.5954,0.7877,0.7269,0.5344,0.7543,0.5787,0.7944,15.8103,2.0000,17.2676,0.1689,0.7837,0.8425,0.9801,0.8273,0.1357,0.0619,0.5310,0.5180
hotpotqa,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,no,2140,488,4,1.0000,0,0.9850,0.2106,0.9127,0.5534,0.9038,0.8518,0.8998,0.7303,0.5534,0.9006,21.3207,8.7343,1.4953,0.1364,0.9519,0.7869,0.9126,0.9850,0.1364,0.0620,0.4689,0.4822
hotpotqa,Phi-4-mini-instruct,Phi-4-mini-instruct,self,no,1558,490,4,1.0000,0,0.9807,0.1741,0.8867,0.5530,0.7996,0.8028,0.7653,0.5412,0.5553,0.8001,17.2644,11.3273,1.9255,0.1040,0.8543,0.8273,0.8870,0.9807,0.1085,0.0621,0.4689,0.5802
hotpotqa,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,no,1074,498,4,1.0000,0,0.7961,0.0896,0.9800,0.5175,0.8467,0.7428,0.5336,0.7706,0.5006,0.8668,17.9844,2.0000,20.3911,0.0279,0.5931,0.8203,0.9804,0.7961,0.0009,0.1006,0.9022,0.7309
hotpotqa,Phi-4-mini-instruct,gemma-3-4b-it,cross,no,1281,485,4,1.0000,0,0.9180,0.1629,0.8895,0.5519,0.8968,0.8762,0.8135,0.7614,0.5408,0.9010,15.7055,11.0519,8.1967,0.0952,0.8142,0.8431,0.8899,0.9180,0.0749,0.0621,0.5310,0.5886
hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,yes,1054,489,4,1.0000,0,0.8273,0.4869,0.8539,0.7719,0.7949,0.7356,0.6807,0.7144,0.7852,0.7792,19.2962,14.6061,17.2676,0.5323,0.6252,0.8074,0.8539,0.8273,0.5598,0.0283,0.4214,0.3776
hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,yes,2140,488,4,1.0000,0,0.9850,0.8117,0.9800,0.9208,0.8775,0.8470,0.7119,0.6669,0.9208,0.8779,28.5283,2.0000,1.4953,0.8916,0.9313,0.7150,0.9799,0.9850,0.8916,0.0269,0.4822,0.5687
hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,yes,1558,490,4,1.0000,0,0.9807,0.7830,0.9660,0.7943,0.8143,0.7982,0.6016,0.5412,0.7957,0.7665,24.8874,3.4009,1.9255,0.8440,0.8832,0.7516,0.9660,0.9807,0.8466,0.0292,0.4515,0.6008
hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,yes,1074,498,4,1.0000,0,0.7961,0.3368,0.7522,0.6909,0.7121,0.7315,0.7718,0.7333,0.6985,0.8065,21.1835,24.7780,20.3911,0.3222,0.3696,0.7886,0.7523,0.7961,0.3343,0.0295,0.4833,0.3538
hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,yes,1281,485,4,1.0000,0,0.9180,0.6719,0.9260,0.8181,0.8111,0.8106,0.7034,0.7199,0.8211,0.8199,22.0048,7.3989,8.1967,0.7174,0.7806,0.7799,0.9258,0.9180,0.7229,0.0274,0.4515,0.5464
hotpotqa,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,no,1054,489,4,1.0000,0,0.8273,0.0334,0.9096,0.4775,0.6628,0.6344,0.5684,0.6181,0.4780,0.6696,19.0154,9.0445,17.2676,0.0342,0.6376,0.8102,0.9099,0.8273,0.0351,0.3186,0.2785,0.9953
hotpotqa,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,no,2140,488,4,1.0000,0,0.9850,0.0343,0.8724,0.4382,0.6713,0.6984,0.6573,0.6034,0.4356,0.6731,26.5754,12.7624,1.4953,0.0346,0.9000,0.7346,0.8724,0.9850,0.0294,0.1736,0.8179,0.9888
hotpotqa,gemma-3-4b-it,Phi-4-mini-instruct,cross,no,1558,490,4,1.0000,0,0.9807,0.0711,0.9800,0.4683,0.6705,0.6548,0.5408,0.5412,0.4670,0.6492,22.9771,2.0000,1.9255,0.0712,0.8344,0.7702,0.9801,0.9807,0.0687,0.1170,0.6207,0.9840
hotpotqa,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,no,1074,498,4,1.0000,0,0.7961,0.0145,0.8776,0.5002,0.6764,0.7054,0.6327,0.6989,0.4996,0.7135,28.5430,12.2370,20.3911,0.0140,0.5047,0.7151,0.8780,0.7961,0.0130,0.3808,0.6904,0.9953
hotpotqa,gemma-3-4b-it,gemma-3-4b-it,self,no,1281,485,4,1.0000,0,0.9180,0.0292,0.8693,0.4997,0.7188,0.7073,0.6728,0.6473,0.4985,0.7433,21.9533,13.0738,8.1967,0.0281,0.8017,0.7806,0.8696,0.9180,0.0258,0.2295,0.7372,0.9891
