dataset,assessor,target,arm,capable,n,n_ep,n_pool_targets,parse_rate,g_degenerate,base,mean_u,p_hat,V,S_LOTO_raw,S_LOTO_quantile,S_g_quantile,S_oracle_pct,S_mid_gap,S_fitted,req_pct_quant,req_pct_g,req_pct_oracle,realized_flag_V,realized_flag_raw,realized_flag_quant,realized_flag_g,realized_flag_oracle,realized_flag_gap,gap_width,gap_mid,mass_extremes
hotpotqa,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,no,2229,466,4,1.0000,0,0.5608,0.0109,0.8356,0.5074,0.6562,0.6499,0.5959,0.6539,0.5074,0.6543,46.9699,16.4431,43.9210,0.0103,0.5796,0.5307,0.8358,0.5608,0.0103,0.2058,0.3971,0.9852
hotpotqa,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,no,1784,497,4,1.0000,0,0.1031,0.0006,0.2588,0.5000,0.7371,0.6964,0.7313,0.6240,0.4997,0.7193,41.2346,74.1198,89.6861,0.0000,0.4170,0.5880,0.2590,0.1037,0.0006,0.2016,0.2200,0.9989
hotpotqa,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,no,2229,487,4,1.0000,0,0.4751,0.0035,0.2784,0.5000,0.6800,0.6781,0.6331,0.6704,0.5011,0.6809,46.9344,72.1645,52.4899,0.0000,0.5523,0.5307,0.2786,0.4755,0.0045,0.0582,0.1936,0.9883
hotpotqa,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,no,1845,467,4,1.0000,0,0.1648,0.1578,0.5240,0.5697,0.6741,0.6740,0.6569,0.5901,0.5498,0.6706,60.9899,47.6019,83.5230,0.1106,0.4000,0.3902,0.5241,0.1653,0.0878,0.0619,0.5310,0.6222
hotpotqa,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,no,2607,492,4,1.0000,0,0.5577,0.1798,0.4864,0.5061,0.5291,0.5316,0.5297,0.5296,0.5061,0.5203,63.8803,51.3604,44.2271,0.1074,0.4956,0.3613,0.4868,0.5577,0.1074,0.0620,0.4689,0.5439
hotpotqa,Phi-4-mini-instruct,Phi-4-mini-instruct,self,no,2229,466,4,1.0000,0,0.5608,0.1479,0.3553,0.5186,0.5466,0.5457,0.5431,0.5355,0.5209,0.5443,61.0868,64.4727,43.9210,0.0781,0.3934,0.3894,0.3558,0.5608,0.0817,0.0621,0.4689,0.6442
hotpotqa,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,no,1784,497,4,1.0000,0,0.1031,0.0769,0.3505,0.5058,0.5457,0.5800,0.5589,0.5240,0.4997,0.5963,57.3176,64.9502,89.6861,0.0168,0.2332,0.4271,0.3509,0.1037,0.0006,0.1006,0.9022,0.7904
hotpotqa,Phi-4-mini-instruct,gemma-3-4b-it,cross,no,2229,487,4,1.0000,0,0.4751,0.1431,0.3561,0.5264,0.5491,0.5532,0.5691,0.5642,0.5264,0.5751,42.0437,64.3946,52.4899,0.0781,0.5877,0.5796,0.3562,0.4755,0.0781,0.0621,0.4689,0.6487
hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,yes,1845,467,4,1.0000,0,0.1648,0.3454,0.2372,0.8148,0.7841,0.7869,0.7931,0.7535,0.8100,0.8182,50.9210,76.2813,83.5230,0.3360,0.2163,0.4911,0.2374,0.1653,0.3539,0.0260,0.4504,0.4477
hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,yes,2607,492,4,1.0000,0,0.5577,0.6945,0.6022,0.7677,0.8134,0.7651,0.8300,0.8243,0.7709,0.8262,61.0857,39.7847,44.2271,0.7453,0.6705,0.3893,0.6022,0.5577,0.7384,0.0264,0.5119,0.5692
hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,yes,2229,466,4,1.0000,0,0.5608,0.6490,0.5214,0.8314,0.8686,0.8133,0.8641,0.8716,0.8200,0.8691,59.7637,47.8630,43.9210,0.6833,0.5994,0.4024,0.5218,0.5608,0.6949,0.0268,0.4206,0.5873
hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,yes,1784,497,4,1.0000,0,0.1031,0.2153,0.0211,0.8068,0.6762,0.7851,0.5787,0.7361,0.8020,0.8327,51.6947,97.8910,89.6861,0.1670,0.0645,0.4832,0.0219,0.1037,0.1648,0.0284,0.5136,0.5336
hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,yes,2229,487,4,1.0000,0,0.4751,0.5741,0.4494,0.8514,0.8760,0.8609,0.8705,0.8736,0.8507,0.8724,57.2711,55.0649,52.4899,0.5980,0.5128,0.4275,0.4495,0.4755,0.6025,0.0274,0.4515,0.5855
hotpotqa,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,no,1845,467,4,1.0000,0,0.1648,0.0207,0.3738,0.5221,0.6310,0.6257,0.6286,0.5960,0.5221,0.6297,42.3890,62.6227,83.5230,0.0222,0.3832,0.5762,0.3740,0.1653,0.0222,0.3520,0.3240,0.9951
hotpotqa,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,no,2607,492,4,1.0000,0,0.5577,0.0276,0.3441,0.5080,0.6390,0.6170,0.5934,0.6338,0.5058,0.6378,49.1530,65.5894,44.2271,0.0280,0.6590,0.5086,0.3445,0.5577,0.0238,0.1736,0.8179,0.9908
hotpotqa,gemma-3-4b-it,Phi-4-mini-instruct,cross,no,2229,466,4,1.0000,0,0.5608,0.0557,0.9800,0.5372,0.6688,0.6648,0.5166,0.6703,0.5356,0.6759,50.9037,2.0000,43.9210,0.0561,0.5917,0.4913,0.9798,0.5608,0.0543,0.1170,0.6207,0.9865
hotpotqa,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,no,1784,497,4,1.0000,0,0.1031,0.0057,0.2929,0.5032,0.6599,0.6513,0.6759,0.6149,0.5032,0.6402,41.8406,70.7150,89.6861,0.0050,0.3599,0.5818,0.2932,0.1037,0.0050,0.4120,0.6748,0.9978
hotpotqa,gemma-3-4b-it,gemma-3-4b-it,self,no,2229,487,4,1.0000,0,0.4751,0.0195,0.2710,0.5068,0.6989,0.6836,0.6255,0.6767,0.5044,0.6921,47.6078,72.9028,52.4899,0.0193,0.6146,0.5240,0.2714,0.4755,0.0170,0.1728,0.7656,0.9924
