dataset,target,assessor,arm,k,n,n_sel,base,prec,lift,recall
hotpotqa,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,20,3224,645,0.5416,0.7333,1.3541,0.2709
hotpotqa,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,30,3224,967,0.5416,0.7311,1.3500,0.4049
hotpotqa,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,5,3224,164,0.5416,0.9695,1.7902,0.0911
hotpotqa,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,10,3224,323,0.5416,0.9659,1.7836,0.1787
hotpotqa,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,20,3224,645,0.5416,0.9643,1.7807,0.3562
hotpotqa,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,30,3224,967,0.5416,0.9317,1.7205,0.5160
hotpotqa,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,5,3224,161,0.5416,0.9441,1.7433,0.0871
hotpotqa,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,10,3224,322,0.5416,0.9224,1.7031,0.1701
hotpotqa,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,20,3224,645,0.5416,0.8899,1.6432,0.3288
hotpotqa,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,30,3224,967,0.5416,0.8656,1.5983,0.4794
hotpotqa,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,5,3224,161,0.5416,0.5901,1.0896,0.0544
hotpotqa,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,10,3224,322,0.5416,0.6087,1.1240,0.1123
hotpotqa,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,20,3224,645,0.5416,0.6233,1.1508,0.2302
hotpotqa,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,30,3224,967,0.5416,0.6225,1.1495,0.3448
hotpotqa,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,5,3224,161,0.5416,0.6770,1.2501,0.0624
hotpotqa,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,10,3224,322,0.5416,0.6801,1.2559,0.1254
hotpotqa,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,20,3224,645,0.5416,0.6961,1.2854,0.2572
