dataset,target,assessor,arm,scope,n,base,majority,agree,lift_maj,bal_acc,tpr,tnr,say_inc,tp,fp,tn,fn
alfworld,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,AGG-true,6482,0.7546,0.7546,0.4278,-0.3268,0.4843,0.3733,0.5952,0.3811,1826,644,947,3065
alfworld,Phi-4-mini-instruct,Phi-4-mini-instruct,self,AGG-true,6604,0.7816,0.7816,0.3745,-0.4072,0.4792,0.2933,0.6650,0.3024,1514,483,959,3648
alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,AGG-true,3197,0.3819,0.6181,0.6028,-0.0153,0.4970,0.0491,0.9448,0.0529,60,109,1867,1161
alfworld,deepseek-v4-flash,Phi-4-mini-instruct,cross,AGG-true,3304,0.3308,0.6692,0.5975,-0.0717,0.4913,0.1775,0.8051,0.1892,194,431,1780,899
alfworld,gemma-3-4b-it,Phi-4-mini-instruct,cross,AGG-true,6790,0.8863,0.8863,0.3969,-0.4894,0.5068,0.3646,0.6490,0.3630,2194,271,501,3824
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,AGG-true,4765,0.5108,0.5108,0.7572,0.2464,0.7533,0.9314,0.5753,0.6835,2267,990,1341,167
alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,AGG-true,6482,0.7546,0.7546,0.8337,0.0791,0.6937,0.9687,0.4186,0.8737,4738,925,666,153
alfworld,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,AGG-true,6604,0.7816,0.7816,0.8342,0.0525,0.6421,0.9831,0.3010,0.9211,5075,1008,434,87
alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,AGG-true,3197,0.3819,0.6181,0.6497,0.0316,0.6230,0.5102,0.7358,0.3581,623,522,1454,598
alfworld,deepseek-v4-flash,Qwen3.6-35B-A3B,cross,AGG-true,3304,0.3308,0.6692,0.7927,0.1235,0.8004,0.8234,0.7775,0.4213,900,492,1719,193
alfworld,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,AGG-true,6790,0.8863,0.8863,0.9227,0.0364,0.7068,0.9862,0.4275,0.9392,5935,442,330,83
alfworld,deepseek-v4-flash,deepseek-v4-flash,self,AGG-true,2322,0.2976,0.7024,0.6680,-0.0345,0.6611,0.6440,0.6781,0.4177,445,525,1106,246
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,AGG-true,4765,0.5108,0.5108,0.4703,-0.0405,0.4734,0.3311,0.6156,0.3572,806,896,1435,1628
alfworld,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,AGG-true,6482,0.7546,0.7546,0.4136,-0.3409,0.4225,0.4050,0.4400,0.4431,1981,891,700,2910
alfworld,Phi-4-mini-instruct,gemma-3-4b-it,cross,AGG-true,6604,0.7816,0.7816,0.4420,-0.3396,0.4424,0.4417,0.4431,0.4668,2280,803,639,2882
alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,AGG-true,3197,0.3819,0.6181,0.5837,-0.0344,0.5008,0.1499,0.8517,0.1489,183,293,1683,1038
alfworld,deepseek-v4-flash,gemma-3-4b-it,cross,AGG-true,3304,0.3308,0.6692,0.6120,-0.0572,0.4876,0.1199,0.8553,0.1365,131,320,1891,962
alfworld,gemma-3-4b-it,gemma-3-4b-it,self,AGG-true,6790,0.8863,0.8863,0.2730,-0.6133,0.4194,0.2300,0.6088,0.2483,1384,302,470,4634
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,SPLIT-action,4765,0.5108,0.5108,0.6978,0.1870,0.7033,0.4470,0.9597,0.2481,1088,94,2237,1346
alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,SPLIT-action,6482,0.7546,0.7546,0.7658,0.0113,0.7886,0.7438,0.8334,0.6021,3638,265,1326,1253
alfworld,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,SPLIT-action,6604,0.7816,0.7816,0.8127,0.0310,0.7550,0.8574,0.6526,0.7461,4426,501,941,736
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,SPLIT-action,3197,0.3819,0.6181,0.6750,0.0569,0.5792,0.1736,0.9848,0.0757,212,30,1946,1009
alfworld,deepseek-v4-flash,Llama-3.3-70B-Instruct,cross,SPLIT-action,3304,0.3308,0.6692,0.7418,0.0726,0.6151,0.2406,0.9896,0.0866,263,23,2188,830
alfworld,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,SPLIT-action,6790,0.8863,0.8863,0.9000,0.0137,0.8295,0.9207,0.7383,0.8458,5541,202,570,477
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,SPLIT-action,4765,0.5108,0.5108,0.5165,0.0057,0.5262,0.0748,0.9777,0.0491,182,52,2279,2252
alfworld,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,SPLIT-action,6482,0.7546,0.7546,0.2698,-0.4847,0.5081,0.0401,0.9761,0.0361,196,38,1553,4695
alfworld,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,SPLIT-action,6604,0.7816,0.7816,0.2685,-0.5132,0.5048,0.0852,0.9244,0.0831,440,109,1333,4722
alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,SPLIT-action,3197,0.3819,0.6181,0.6265,0.0084,0.5122,0.0278,0.9965,0.0128,34,7,1969,1187
alfworld,deepseek-v4-flash,Mistral-7B-Instruct-v0.3,cross,SPLIT-action,3304,0.3308,0.6692,0.6692,-0.0000,0.5019,0.0073,0.9964,0.0048,8,8,2203,1085
alfworld,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,SPLIT-action,6790,0.8863,0.8863,0.1566,-0.7297,0.5072,0.0533,0.9611,0.0517,321,30,742,5697
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,SPLIT-action,4765,0.5108,0.5108,0.5511,0.0403,0.5540,0.4199,0.6881,0.3671,1022,727,1604,1412
alfworld,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,SPLIT-action,6482,0.7546,0.7546,0.4261,-0.3284,0.4961,0.3586,0.6336,0.3605,1754,583,1008,3137
alfworld,Phi-4-mini-instruct,Phi-4-mini-instruct,self,SPLIT-action,6604,0.7816,0.7816,0.3819,-0.3998,0.4817,0.3045,0.6588,0.3125,1572,492,950,3590
alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,SPLIT-action,3197,0.3819,0.6181,0.6237,0.0056,0.5168,0.0639,0.9696,0.0432,78,60,1916,1143
alfworld,deepseek-v4-flash,Phi-4-mini-instruct,cross,SPLIT-action,3304,0.3308,0.6692,0.6531,-0.0160,0.5176,0.1171,0.9181,0.0935,128,181,2030,965
alfworld,gemma-3-4b-it,Phi-4-mini-instruct,cross,SPLIT-action,6790,0.8863,0.8863,0.3143,-0.5720,0.5437,0.2468,0.8407,0.2368,1485,123,649,4533
alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,SPLIT-action,4765,0.5108,0.5108,0.7708,0.2600,0.7673,0.9306,0.6040,0.6690,2265,923,1408,169
alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,SPLIT-action,6482,0.7546,0.7546,0.8416,0.0870,0.7146,0.9640,0.4651,0.8587,4715,851,740,176
alfworld,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,SPLIT-action,6604,0.7816,0.7816,0.8409,0.0592,0.6581,0.9826,0.3336,0.9135,5072,961,481,90
alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,SPLIT-action,3197,0.3819,0.6181,0.6719,0.0538,0.6374,0.4914,0.7834,0.3216,600,428,1548,621
alfworld,deepseek-v4-flash,Qwen3.6-35B-A3B,cross,SPLIT-action,3304,0.3308,0.6692,0.7742,0.1050,0.7836,0.8115,0.7558,0.4319,887,540,1671,206
alfworld,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,SPLIT-action,6790,0.8863,0.8863,0.9270,0.0406,0.7262,0.9860,0.4663,0.9346,5934,412,360,84
alfworld,deepseek-v4-flash,deepseek-v4-flash,self,SPLIT-action,3304,0.3308,0.6692,0.6653,-0.0039,0.5935,0.3815,0.8055,0.2564,417,430,1781,676
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,SPLIT-action,4765,0.5108,0.5108,0.4848,-0.0260,0.4917,0.1734,0.8100,0.1815,422,443,1888,2012
alfworld,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,SPLIT-action,6482,0.7546,0.7546,0.3656,-0.3889,0.4842,0.2513,0.7172,0.2590,1229,450,1141,3662
alfworld,Phi-4-mini-instruct,gemma-3-4b-it,cross,SPLIT-action,6604,0.7816,0.7816,0.3508,-0.4308,0.4633,0.2637,0.6630,0.2797,1361,486,956,3801
alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,SPLIT-action,3197,0.3819,0.6181,0.6284,0.0103,0.5209,0.0655,0.9762,0.0397,80,47,1929,1141
alfworld,deepseek-v4-flash,gemma-3-4b-it,cross,SPLIT-action,3304,0.3308,0.6692,0.6616,-0.0076,0.5027,0.0329,0.9724,0.0294,36,61,2150,1057
alfworld,gemma-3-4b-it,gemma-3-4b-it,self,SPLIT-action,6790,0.8863,0.8863,0.1894,-0.6969,0.4721,0.1062,0.8381,0.1125,639,125,647,5379
alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,SPLIT-thought,4765,0.5108,0.5108,0.5282,0.0174,0.5379,0.0892,0.9867,0.0520,217,31,2300,2217
alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,SPLIT-thought,6482,0.7546,0.7546,0.6214,-0.1331,0.6753,0.5694,0.7813,0.4833,2785,348,1243,2106
alfworld,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,SPLIT-thought,6604,0.7816,0.7816,0.6513,-0.1304,0.6462,0.6552,0.6373,0.5913,3382,523,919,1780
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,SPLIT-thought,3197,0.3819,0.6181,0.6459,0.0278,0.5411,0.0975,0.9848,0.0466,119,30,1946,1102
alfworld,deepseek-v4-flash,Llama-3.3-70B-Instruct,cross,SPLIT-thought,3304,0.3308,0.6692,0.6919,0.0227,0.5440,0.1070,0.9810,0.0481,117,42,2169,976
alfworld,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,SPLIT-thought,6790,0.8863,0.8863,0.7968,-0.0895,0.7115,0.8219,0.6010,0.7738,4946,308,464,1072
alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,SPLIT-thought,4765,0.5108,0.5108,0.4936,-0.0172,0.5043,0.0103,0.9983,0.0061,25,4,2327,2409
alfworld,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,SPLIT-thought,6482,0.7546,0.7546,0.2476,-0.5069,0.4995,0.0047,0.9943,0.0049,23,9,1582,4868
alfworld,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,SPLIT-thought,6604,0.7816,0.7816,0.2388,-0.5429,0.5033,0.0337,0.9730,0.0323,174,39,1403,4988
alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,SPLIT-thought,3197,0.3819,0.6181,0.6175,-0.0006,0.4995,0.0000,0.9990,0.0006,0,2,1974,1221
alfworld,deepseek-v4-flash,Mistral-7B-Instruct-v0.3,cross,SPLIT-thought,3304,0.3308,0.6692,0.6686,-0.0006,0.4998,0.0009,0.9986,0.0012,1,3,2208,1092
alfworld,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,SPLIT-thought,6790,0.8863,0.8863,0.1639,-0.7224,0.5086,0.0625,0.9547,0.0605,376,35,737,5642
alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,SPLIT-thought,4765,0.5108,0.5108,0.5822,0.0714,0.5821,0.5863,0.5779,0.5060,1427,984,1347,1007
alfworld,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,SPLIT-thought,6482,0.7546,0.7546,0.4230,-0.3315,0.5267,0.3230,0.7304,0.3099,1580,429,1162,3311
