dataset,target,assessor,arm,scope,n,base,majority,agree,lift_maj,bal_acc,tpr,tnr,say_inc,tp,fp,tn,fn
alfworld,Phi-4-mini-instruct,gemma-3-4b-it,cross,SPLIT-thought,6604,0.7816,0.7816,0.3142,-0.4674,0.5008,0.1695,0.8322,0.1691,875,242,1200,4287
alfworld,Qwen3.5-4B,Qwen3.5-4B,self,AGG-mean,4113,0.5295,0.5295,0.5590,0.0294,0.5750,0.3035,0.8465,0.2329,661,297,1638,1517
alfworld,Qwen3.5-4B,Qwen3.5-4B,self,AGG-true,4113,0.5295,0.5295,0.5750,0.0455,0.5833,0.4435,0.7230,0.3652,966,536,1399,1212
alfworld,Qwen3.5-4B,Qwen3.5-4B,self,SPLIT-action,4113,0.5295,0.5295,0.5140,-0.0156,0.5368,0.1511,0.9225,0.1165,329,150,1785,1849
alfworld,Qwen3.5-4B,Qwen3.5-4B,self,SPLIT-thought,4113,0.5295,0.5295,0.5918,0.0622,0.5965,0.5161,0.6770,0.4252,1124,625,1310,1054
alfworld,Qwen3.5-9B,Qwen3.5-9B,self,AGG-mean,4265,0.4605,0.5395,0.5955,0.0560,0.5650,0.1782,0.9518,0.1081,350,111,2190,1614
alfworld,Qwen3.5-9B,Qwen3.5-9B,self,AGG-true,4265,0.4605,0.5395,0.5927,0.0532,0.5645,0.2072,0.9218,0.1376,407,180,2121,1557
alfworld,Qwen3.5-9B,Qwen3.5-9B,self,SPLIT-action,4265,0.4605,0.5395,0.5784,0.0389,0.5440,0.1079,0.9800,0.0605,212,46,2255,1752
alfworld,Qwen3.5-9B,Qwen3.5-9B,self,SPLIT-thought,4265,0.4605,0.5395,0.6042,0.0647,0.5808,0.2841,0.8774,0.1970,558,282,2019,1406
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,AGG-mean,3197,0.3819,0.6181,0.6547,0.0366,0.5518,0.1163,0.9873,0.0522,142,25,1951,1079
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,AGG-true,3197,0.3819,0.6181,0.7107,0.0926,0.6469,0.3767,0.9170,0.1952,460,164,1812,761
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,SPLIT-action,3197,0.3819,0.6181,0.6750,0.0569,0.5792,0.1736,0.9848,0.0757,212,30,1946,1009
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,SPLIT-thought,3197,0.3819,0.6181,0.6459,0.0278,0.5411,0.0975,0.9848,0.0466,119,30,1946,1102
alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,AGG-mean,3197,0.3819,0.6181,0.6184,0.0003,0.5006,0.0016,0.9995,0.0009,2,1,1975,1219
alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,AGG-true,3197,0.3819,0.6181,0.6175,-0.0006,0.4997,0.0008,0.9985,0.0013,1,3,1973,1220
alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,SPLIT-action,3197,0.3819,0.6181,0.6265,0.0084,0.5122,0.0278,0.9965,0.0128,34,7,1969,1187
alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,SPLIT-thought,3197,0.3819,0.6181,0.6175,-0.0006,0.4995,0.0000,0.9990,0.0006,0,2,1974,1221
alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,AGG-mean,3197,0.3819,0.6181,0.6146,-0.0034,0.5075,0.0541,0.9610,0.0447,66,77,1899,1155
alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,AGG-true,3197,0.3819,0.6181,0.6028,-0.0153,0.4970,0.0491,0.9448,0.0529,60,109,1867,1161
