construct,dataset,assessor,target,capable,n,n_pool,base,V,V_anchor_S1d,V_parse_rate,S_LOTO_quantile,S_g_quantile,S_oracle_pct,S_fitted,arm0_h_rule,arm0_pct,arm1_mixture,arm1_status,arm1_cut,arm2_violation,arm2_cut
violation,hotpotqa,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,no,873,4,0.9656,0.5036,0.5036,1.0000,0.8367,0.5762,0.6375,0.8258,0.6786,0.0541,0.5966,ok,0.0001,0.8260,0.0000
violation,hotpotqa,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,no,269,4,0.1859,0.5000,0.5000,1.0000,0.6142,0.8005,0.9486,0.9659,0.7877,0.4689,,weight<0.05,,0.9532,0.0000
violation,hotpotqa,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,no,940,4,0.8883,0.5000,0.5000,1.0000,0.8887,0.8701,0.8553,0.9394,0.8354,0.3948,0.6246,ok,0.0001,0.8911,0.0000
violation,hotpotqa,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,no,321,4,0.4330,0.5664,0.5664,1.0000,0.6393,0.6925,0.8513,0.8438,0.7365,0.2902,0.7475,ok,0.0077,0.8532,0.0474
violation,hotpotqa,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,no,931,4,0.9656,0.5177,0.5177,1.0000,0.8335,0.8913,0.8058,0.8915,0.8552,0.1887,,no_boundary_between_means,,0.8527,0.0067
violation,hotpotqa,Phi-4-mini-instruct,Phi-4-mini-instruct,no,873,4,0.9656,0.5249,0.5249,1.0000,0.7926,0.7862,0.6893,0.7816,0.7726,0.3397,,weight<0.05,,0.7733,0.0086
violation,hotpotqa,Phi-4-mini-instruct,Qwen3.6-35B-A3B,no,269,4,0.1859,0.5100,0.5100,1.0000,0.6005,0.5600,0.8872,0.9338,0.5100,1.0000,0.9266,ok,0.0115,0.9426,0.0180
violation,hotpotqa,Phi-4-mini-instruct,gemma-3-4b-it,no,940,4,0.8883,0.5485,0.5485,1.0000,0.9020,0.7048,0.8660,0.9186,0.8695,0.1149,0.7653,ok,0.0697,0.6779,0.1480
violation,hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,yes,321,4,0.4330,0.8797,0.8797,1.0000,0.6264,0.8761,0.8957,0.8820,0.8985,0.5685,0.8269,ok,0.0816,0.9008,0.3760
violation,hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,yes,931,4,0.9656,0.9593,0.9593,1.0000,0.8988,0.9035,0.9029,0.9169,0.9527,0.0936,,no_boundary_between_means,,0.9432,0.7512
violation,hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,yes,873,4,0.9656,0.8512,0.8512,1.0000,0.8641,0.8584,0.8447,0.8202,0.8632,0.0646,,no_boundary_between_means,,0.8871,0.7748
violation,hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,yes,269,4,0.1859,0.9409,0.9409,1.0000,0.5868,0.9526,0.9486,0.9367,0.9110,0.6694,0.7123,ok,0.0061,0.9509,0.4993
violation,hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,yes,940,4,0.8883,0.9166,0.9166,1.0000,0.8907,0.8893,0.9089,0.9080,0.9117,0.1541,0.7429,ok,0.0437,0.9021,0.7046
violation,hotpotqa,gemma-3-4b-it,Llama-3.3-70B-Instruct,no,321,4,0.4330,0.4931,0.4931,1.0000,0.6291,0.5165,0.7371,0.7695,0.5000,0.0000,0.4937,ok,0.0001,0.7668,0.0000
violation,hotpotqa,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,no,931,4,0.9656,0.4291,0.4291,1.0000,0.7191,0.6608,0.6602,0.7494,0.6741,0.3510,0.4134,ok,0.0001,0.6821,0.0000
violation,hotpotqa,gemma-3-4b-it,Phi-4-mini-instruct,no,873,4,0.9656,0.4499,0.4499,1.0000,0.7093,0.6240,0.6721,0.7144,0.6601,0.3575,0.4594,ok,0.0001,0.7152,0.0000
violation,hotpotqa,gemma-3-4b-it,Qwen3.6-35B-A3B,no,269,4,0.1859,0.5032,0.5032,1.0000,0.6119,0.5114,0.7152,0.8180,0.5822,0.1316,,weight<0.05,,0.8613,0.0000
violation,hotpotqa,gemma-3-4b-it,gemma-3-4b-it,no,940,4,0.8883,0.4923,0.4923,1.0000,0.8348,0.7717,0.8017,0.8366,0.7705,0.3570,0.5145,ok,0.0001,0.8204,0.0000
