construct,dataset,assessor,target,capable,n,n_pool,base,V,V_anchor_S1d,V_parse_rate,S_LOTO_quantile,S_g_quantile,S_oracle_pct,S_fitted,arm0_h_rule,arm0_pct,arm1_mixture,arm1_status,arm1_cut,arm2_violation,arm2_cut
violation+judgment,hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,yes,2282,4,0.5710,0.8592,0.8592,1.0000,0.8148,0.8640,0.8587,0.8562,0.8603,0.4403,0.8005,ok,0.9999,0.8623,0.9859
violation+judgment,hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,yes,1787,4,0.1058,0.6672,0.6672,1.0000,0.7741,0.7277,0.7186,0.8123,0.8219,0.7399,0.7764,ok,0.0001,0.8108,0.0000
violation+judgment,hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,yes,2248,4,0.4800,0.8644,0.8644,1.0000,0.8525,0.8638,0.8632,0.8632,0.8654,0.4997,0.8534,ok,0.0001,0.8558,0.9933
violation+judgment,hotpotqa,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,no,1878,4,0.1821,0.5000,0.5000,1.0000,0.6481,0.5836,0.5742,0.6451,0.6309,0.5885,0.5344,ok,0.0001,0.6546,0.0000
violation+judgment,hotpotqa,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,no,2626,4,0.5613,0.5016,0.5016,1.0000,0.6422,0.6379,0.6528,0.6596,0.6525,0.4233,0.6047,ok,0.0001,0.6633,0.0000
violation+judgment,hotpotqa,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,no,2282,4,0.5710,0.5070,0.5070,1.0000,0.6486,0.6050,0.6547,0.6556,0.6267,0.2170,0.5765,ok,0.0001,0.6608,0.0000
violation+judgment,hotpotqa,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,no,1787,4,0.1058,0.5000,0.5000,1.0000,0.6990,0.7338,0.6269,0.7162,0.6816,0.3777,0.5701,ok,0.0001,0.7363,0.0000
violation+judgment,hotpotqa,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,no,2248,4,0.4800,0.5000,0.5000,1.0000,0.6802,0.6305,0.6699,0.6795,0.6786,0.4582,0.5802,ok,0.0001,0.6812,0.0000
violation+judgment,hotpotqa,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,no,1878,4,0.1821,0.5649,0.5649,1.0000,0.6683,0.6602,0.5939,0.6672,0.6649,0.6470,0.6573,ok,0.0499,0.6587,0.0474
violation+judgment,hotpotqa,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,no,2626,4,0.5613,0.5070,0.5070,1.0000,0.5326,0.5293,0.5306,0.5205,0.5185,0.7511,,no_boundary_between_means,,0.5142,0.0067
violation+judgment,hotpotqa,Phi-4-mini-instruct,Phi-4-mini-instruct,no,2282,4,0.5710,0.5178,0.5178,1.0000,0.5453,0.5422,0.5394,0.5436,0.5436,0.5937,,no_boundary_between_means,,0.5282,0.0086
