construct,dataset,target,open_judge,capable,n,auroc_gpt4o,auroc_open,delta,ci_lo,ci_hi
judgment,alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,1,446,0.7969,0.7535,0.0434,-0.0047,0.0913
judgment,alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,0,446,0.7969,0.5367,0.2602,0.2042,0.3181
judgment,alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,0,446,0.7969,0.4182,0.3787,0.3226,0.4366
judgment,alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,1,446,0.7969,0.7500,0.0470,0.0036,0.0912
judgment,alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,0,446,0.7969,0.5648,0.2322,0.1598,0.3071
judgment,alfworld,deepseek-v4-flash,Llama-3.3-70B-Instruct,1,484,0.8435,0.8642,-0.0207,-0.0592,0.0171
judgment,alfworld,deepseek-v4-flash,Mistral-7B-Instruct-v0.3,0,484,0.8435,0.6261,0.2174,0.1484,0.2923
judgment,alfworld,deepseek-v4-flash,Phi-4-mini-instruct,0,484,0.8435,0.5413,0.3022,0.2259,0.3839
judgment,alfworld,deepseek-v4-flash,Qwen3.6-35B-A3B,1,484,0.8435,0.9092,-0.0657,-0.1067,-0.0266
judgment,alfworld,deepseek-v4-flash,deepseek-v4-flash,0,336,0.8435,0.7206,0.1054,0.0292,0.1804
judgment,alfworld,deepseek-v4-flash,gemma-3-4b-it,0,484,0.8435,0.4965,0.3470,0.2930,0.4029
judgment,alfworld,gemma-3-4b-it,Llama-3.3-70B-Instruct,1,496,0.8178,0.8917,-0.0739,-0.1071,-0.0410
judgment,alfworld,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,0,496,0.8178,0.7340,0.0837,0.0340,0.1381
judgment,alfworld,gemma-3-4b-it,Phi-4-mini-instruct,0,496,0.8178,0.5358,0.2819,0.2186,0.3383
judgment,alfworld,gemma-3-4b-it,Qwen3.6-35B-A3B,1,496,0.8178,0.9124,-0.0946,-0.1291,-0.0625
judgment,alfworld,gemma-3-4b-it,gemma-3-4b-it,0,496,0.8178,0.4989,0.3188,0.2566,0.3765
judgment,hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,1,396,0.8378,0.9022,-0.0645,-0.1031,-0.0263
judgment,hotpotqa,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,0,396,0.8378,0.6967,0.1411,0.0825,0.1990
judgment,hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,0,396,0.8378,0.6757,0.1620,0.1066,0.2182
judgment,hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,1,396,0.8378,0.9063,-0.0686,-0.1052,-0.0352
judgment,hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,0,396,0.8378,0.6706,0.1671,0.1009,0.2306
judgment,hotpotqa,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,1,516,0.9250,0.9228,0.0022,-0.0283,0.0311
judgment,hotpotqa,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,0,516,0.9250,0.6986,0.2264,0.1716,0.2813
judgment,hotpotqa,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,0,516,0.9250,0.5489,0.3761,0.3223,0.4310
judgment,hotpotqa,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,1,516,0.9250,0.9006,0.0244,-0.0010,0.0515
judgment,hotpotqa,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,0,516,0.9250,0.6843,0.2407,0.1876,0.2936
judgment,hotpotqa,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,1,492,0.9324,0.9395,-0.0070,-0.0325,0.0188
judgment,hotpotqa,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,0,492,0.9324,0.7368,0.1957,0.1456,0.2468
judgment,hotpotqa,Phi-4-mini-instruct,Phi-4-mini-instruct,0,492,0.9324,0.5972,0.3353,0.2822,0.3886
judgment,hotpotqa,Phi-4-mini-instruct,Qwen3.6-35B-A3B,1,492,0.9324,0.9499,-0.0175,-0.0437,0.0069
judgment,hotpotqa,Phi-4-mini-instruct,gemma-3-4b-it,0,492,0.9324,0.7482,0.1842,0.1327,0.2376
judgment,hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,1,343,0.8882,0.8849,0.0033,-0.0326,0.0407
judgment,hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,0,343,0.8882,0.8079,0.0803,0.0323,0.1297
